Landcovertype,Plot,Hill_side,Acacia mangium,Average_Contribution,STD_Contribution,Lat_ID,Long_ID
Grassland,G3SB,S,0.00,,,11.595006,124.546517
2 years old,E1SB,S,100.00,79.1,36.2,11.59773,124.550039
2 years old,E2NB,N,100.00,,,11.597496,124.550941
2 years old,E4NB,N,37.26,,,11.598743,124.548431
10 years old,I1SB,S,94.62,89.7,11.5,11.590785,124.5368226
10 years old,I2NB,N,96.03,,,11.591253,124.535819
10 years old,I3SB,S,72.50,,,11.591689,124.535514
10 years old,I4NB,N,95.68,,,11.59143,124.535482
24 years old,O1SB,S,69.12,48.1,38.9,11.59324,124.537684
24 years old,O2NB,N,0.00,,,11.594358,124.538137
24 years old,O3SB,S,88.29,,,11.59892,124.546225
24 years old,O4NB,N,35.03,,,11.598297,124.5453
Remnant,R1SB,S,0.00,6.7,13.3,11.598539,124.538384
Remnant,R2NB,N,0.00,,,11.598478,124.539405
Remnant,R3SB,S,26.62,,,11.599125,124.544354
Remnant,R4NB,N,0.00,,,11.59945,124.543657
