Landcovertype,Plot,Acacia mangium,Cocos nucifera,Acacia auriculiformis,Mallotus mollissimus ,Musa spp.,Trema orientalis,Homalanthus populneus,Ficus nota ,Macaranga tanarius (Linn.),Radermachera pinnata,Artocarpus blancoi,Hibiscus tiliaceus,Ficus congesta,Ficus heteropoda,Artocarpus nitidus (A. lamellosus) ,Gmelina Arborea,Pterocymbium tinctorium,Commersonia bartramina (L.) Merr.,Ficus latsoni,Leucyosyke capitellata,Dendrocnide meyeniana,Pipturus arborescens,Psydrax dicoccos Gaertn.,Vitex quinate,Alstonia scholaris,Breynia vitis-idaea,Leucaena leucocephala,Ficus pseudopalma,Myristica philippinensis,Sindora Supa,Cinnamomum mercadoi,Caryota rumphiana,Lithocarpus celebicus,Diplodiscus paniculatus,Diospyros blancoiA. DC.,Shorea contorta,Ficus variegata,Calophyllum blancoi,Morinda citrifolia,Glochidion camiguinense ,Polyscias nodosa ,Cratoxylum sumatranum,Angiopteris evecta ,Fagrea racemosa ,Mallotus philippensis,Garcinia ituman,Ficus balete,Leea aculeata,Ficus ulmifolia,Calamus rotang,Tabernaemontana pandacaqui,Flueggea flexuosa,Sandoricum vidalii ,Syzigium huchinsonii,Cananga odorata
Grassland,G3SB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwoYearsOld,E1SB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwoYearsOld,E2NB,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwoYearsOld,E4NB,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TenYearsold,I1SB,15,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TenYearsold,I2NB,15,0,0,0,0,0,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TenYearsold,I3SB,11,1,0,0,3,0,0,0,10,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TenYearsold,I4NB,17,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwentyfourYearsold,O1SB,4,0,0,0,2,0,3,1,0,0,0,0,0,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwentyfourYearsold,O2NB,0,0,0,0,8,0,0,0,13,0,0,0,0,1,1,7,0,0,1,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwentyfourYearsold,O3SB,20,0,0,5,0,0,3,0,1,3,1,2,0,0,0,0,0,1,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TwentyfourYearsold,O4NB,1,2,0,5,0,0,2,0,5,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remnant,R1SB,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,15,2,3,4,1,15,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Remnant,R2NB,0,0,0,0,5,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,6,13,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Remnant,R3SB,2,1,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0
Remnant,R4NB,0,2,0,0,0,0,2,1,4,2,5,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,4,0,1,0,0,0,0,0,0,0,2,1,3,1
