Species,Grassland,2 years old,10 years old,24 years old,Remnant
Acacia mangium,0,11,58,25,2
Cocos nucifera,1,1,2,2,3
Acacia auriculiformis,0,1,0,0,0
Mallotus mollissimus ,0,0,1,10,0
Trema orientalis,0,0,1,0,0
Homalanthus populneus,0,0,2,8,2
Ficus nota ,0,0,5,1,1
Macaranga tanarius (Linn.),0,0,15,19,7
Radermachera pinnata,0,0,1,3,6
Artocarpus blancoi,0,0,1,5,7
Hibiscus tiliaceus,0,0,5,2,0
Musa spp.,0,0,3,10,5
Ficus congesta,0,0,1,0,1
Ficus heteropoda,0,0,1,1,2
Artocarpus nitidus (A. lamellosus) ,0,0,0,4,4
Gmelina Arborea,0,0,0,15,0
Pterocymbium tinctorium,0,0,0,1,0
Commersonia bartramina (L.) Merr.,0,0,0,2,0
Ficus latsoni,0,0,0,1,0
Leucyosyke capitellata,0,0,0,9,3
Pipturus arborescens,0,0,0,5,14
Psydrax dicoccos Gaertn.,0,0,0,3,1
Vitex quinate,0,0,0,1,10
Breynia vitis-idaea,0,0,0,1,0
Leucaena leucocephala,0,0,0,4,0
Alstonia scholaris,0,0,0,4,2
Ficus pseudopalma,0,0,0,0,16
Myristica philippinensis,0,0,0,0,2
Sindora Supa,0,0,0,0,3
Cinnamomum mercadoi,0,0,0,0,4
Caryota rumphiana,0,0,0,0,3
Lithocarpus celebicus,0,0,0,0,16
Diplodiscus paniculatus,0,0,0,0,1
Diospyros blancoi,0,0,0,0,1
Shorea contorta,0,0,0,0,1
Ficus variegata,0,0,0,0,1
Calophyllum blancoi,0,0,0,0,3
Morinda citrifolia,0,0,0,0,4
Glochidion camiguinense ,0,0,0,0,1
Polyscias nodosa ,0,0,0,0,8
Cratoxylum sumatranum,0,0,0,0,5
Dendrocnide meyeniana,0,0,0,4,7
Angiopteris evecta ,0,0,0,0,1
Fagrea racemosa ,0,0,0,0,2
Mallotus philippensis,0,0,0,0,1
Garcinia ituman,0,0,0,0,1
Ficus balete,0,0,0,0,1
Leea aculeata,0,0,0,0,1
Ficus ulmifolia,0,0,0,0,1
Calamus rotang,0,0,0,0,2
Tabernaemontana pandacaqui,0,0,0,0,1
Flueggea flexuosa,0,0,0,0,2
Sandoricum vidalii ,0,0,0,0,1
Syzigium huchinsonii,0,0,0,0,3
Cananga odorata,0,0,0,0,1
