Landcovertype,Plot,Hill_Side,SOC(%),Tree_species,Tree_n_per_plot,SOC_stock,TN(%),AP(mg_kg),C_N_Ratio,C_AP_Ratio,pH_field,Cumulative_AGB_Plot_Ha,Air__T,Air__humidity,Soil_T,Soil_h
Grassland,G3SB,S,3.607688084,1,1,33.93988068,0.246,5.93,14.67,6083.79,5,16.07798495,33.9,70.1,31.66666667,77
2 years old,E1SB,S,3.729295819,1,1,35.08392416,0.249,4.4,14.98,8475.67,5.5,0.125085649,36.5,52.9,32.33333333,67.33333333
2 years old,E2NB,N,4.115274764,1,6,38.71508046,0.297,6.4,13.86,6430.12,6.033333333,1.279100098,36.7,56.7,29.33333333,31
2 years old,E3SB,S,4.108091849,0,0,38.64750608,0.291,7.12,14.12,5769.79,6.266666667,0,32.5,75.1,30.33333333,60.33333333
2 years old,E4NB,N,5.903939341,3,6,55.54221765,0.285,6.13,20.72,9631.22,5.066666667,2.123165433,36.4,56.7,29,84.66666667
10 years old,I1SB,S,5.966647204,4,18,56.13215152,0.344,8.04,17.34,7421.2,6.133333333,181.3386738,31.3,72.4,28.33333333,65
10 years old,I2NB,N,6.42705068,6,24,60.46346805,0.418,12.02,15.38,5346.96,5.566666667,168.1649947,28.5,75.9,26,65.66666667
10 years old,I3SB,S,5.480894319,6,31,51.56235652,0.305,7.62,17.97,7192.77,5.666666667,165.4122369,30.8,77.1,28,68.33333333
10 years old,I4NB,N,6.736922626,5,23,63.37863605,0.48,11.83,14.04,5694.78,6.4,237.4778307,29.7,71.9,27.33333333,43
24 years old,O1SB,S,7.305275978,8,21,68.72550765,0.329,21.38,22.2,3416.87,6.833333333,342.7704062,28.4,91,27,49.33333333
24 years old,O2NB,N,6.617827817,9,47,62.25823332,0.501,5.92,13.21,11178.76,6.233333333,110.0544024,29.1,83.4,25.66666667,74.66666667
24 years old,O3SB,S,5.928751579,13,43,55.7756426,0.365,14.72,16.24,4027.68,6.266666667,157.0468503,29,72.3,26.66666667,45
24 years old,O4NB,N,6.331842158,10,29,59.56777923,0.427,9.49,14.83,6672.12,5.033333333,104.0469174,31.6,69.4,28.33333333,79.33333333
Remnant,R1SB,S,6.633011734,19,63,62.40107835,0.415,13.71,15.98,4838.08,6,191.4267477,28,86.5,26,62.33333333
Remnant,R2NB,N,6.751138987,16,41,63.51237866,0.469,11.51,14.39,5865.46,5.266666667,31.09435243,27.4,87.7,26,59
Remnant,R3SB,S,6.307212603,12,19,59.3360729,0.374,12.36,16.86,5102.92,6.566666667,144.8193776,30,72.9,27,36.33333333
Remnant,R4NB,N,6.454464615,19,41,60.72136886,0.374,15.83,17.26,4077.36,5.433333333,105.6687609,29,77.2,26,73.33333333
