Landcovertype,Plot,Hill_Side,TN(%),AP(mg/kg),CN Ratio,CAP Ratio,Soil pH,Air T,Air h,Soil T,Soil h
Grassland,G1SB,S,0.151,13.22,36.44,4162.53,5.7,32.2,69.6,30,47.66666667
Grassland,G2NB,N,0.036,5.45,117.44,7757.27,6.47,32.2,69.9,30.33333333,37.33333333
Grassland,G3SB,S,0.246,5.93,14.67,6083.79,5,33.9,70.1,31.66666667,77
Grassland,G4NB,N,0.285,4.88,13.9,8118.63,5.4,33.4,70.1,30.33333333,70
2 years old,E1SB,S,0.249,4.4,14.98,8475.67,5.5,36.5,52.9,32.33333333,67.33333333
2 years old,E2NB,N,0.297,6.4,13.86,6430.12,6.033333333,36.7,56.7,29.33333333,31
2 years old,E3SB,S,0.291,7.12,14.12,5769.79,6.266666667,32.5,75.1,30.33333333,60.33333333
2 years old,E4NB,N,0.285,6.13,20.72,9631.22,5.066666667,36.4,56.7,29,84.66666667
10 years old,I1SB,S,0.344,8.04,17.34,7421.2,6.133333333,31.3,72.4,28.33333333,65
10 years old,I2NB,N,0.418,12.02,15.38,5346.96,5.566666667,28.5,75.9,26,65.66666667
10 years old,I3SB,S,0.305,7.62,17.97,7192.77,5.666666667,30.8,77.1,28,68.33333333
10 years old,I4NB,N,0.48,11.83,14.04,5694.78,6.4,29.7,71.9,27.33333333,43
24 years old,O1SB,S,0.329,21.38,22.2,3416.87,6.833333333,28.4,91,27,49.33333333
24 years old,O2NB,N,0.501,5.92,13.21,11178.76,6.233333333,29.1,83.4,25.66666667,74.66666667
24 years old,O3SB,S,0.365,14.72,16.24,4027.68,6.266666667,29,72.3,26.66666667,45
24 years old,O4NB,N,0.427,9.49,14.83,6672.12,5.033333333,31.6,69.4,28.33333333,79.33333333
Remnant,R1SB,S,0.415,13.71,15.98,4838.08,6,28,86.5,26,62.33333333
Remnant,R2NB,N,0.469,11.51,14.39,5865.46,5.266666667,27.4,87.7,26,59
Remnant,R3SB,S,0.374,12.36,16.86,5102.92,6.566666667,30,72.9,27,36.33333333
Remnant,R4NB,N,0.374,15.83,17.26,4077.36,5.433333333,29,77.2,26,73.33333333
